da,text,delex_da,delex_text
inform(name=Místo)&inform(price_range=cheap),Místo má levné ceny.,inform(name=X-name)&inform(price_range=X-price_range),X-name mají X-price_range ceny .
inform(name=Místo)&inform(good_for_meal=dinner)&inform(price_range=cheap),"Mám tu Místo, což je levná restaurace, vhodná na večeři.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),"mám tu X-name , což je X-price_range restaurace , vhodná na X-good_for_meal ."
inform(name=BarBar)&inform(kids_allowed=no),Doporučila bych BarBar. Není přístupná pro děti.,inform(name=X-name)&inform(kids_allowed=no),doporučila bych X-name . není přístupná pro děti .
"inform(address=""Karmelitská 19"")&inform(name=BarBar)",BarBar má sídlo na Karmelitské 19.,inform(address=X-address)&inform(name=X-name),X-name má sídlo na X-address .
inform(phone=267544102)&inform(name=Ananta),Do restaurace Ananta volejte číslo 267544102.,inform(phone=X-phone)&inform(name=X-name),do restaurace X-name volejte číslo X-phone .
goodbye(),Děkuji. Zase někdy na shledanou.,goodbye(),děkuji . zase někdy na shledanou .
inform_no_match(food=Mexican)&inform_no_match(price_range=expensive),"Omlouvám se, ale nenašla jsem žádné drahé mexické restaurace.",inform_no_match(food=X-food)&inform_no_match(price_range=X-price_range),"omlouvám se , ale nenašla jsem žádné X-price_range X-food restaurace ."
inform(food=Italian)&inform(name=BarBar)&inform(price_range=expensive)&inform(good_for_meal=dinner),"Je tu italská restaurace BarBar, která patří do drahé cenové kategorie a hodí se na večeři.",inform(food=X-food)&inform(name=X-name)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),"je tu X-food restaurace X-name , která patří do X-price_range cenové kategorie a hodí se na X-good_for_meal ."
"inform(price=""between 180 and 550 Kč"")&inform(address=""Karmelitská 7"")&inform(phone=257299162)&inform(name=""U Konšelů"")","Restaurace U Konšelů má číslo 257299162, leží na adrese Karmelitská 7. Ceny se pohybují mezi 180 a 550 Kč.",inform(price=X-price)&inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),"restaurace X-name má číslo X-phone , leží na adrese X-address . ceny se pohybují X-price ."
goodbye(),"Snad jsem pomohla, na shledanou.",goodbye(),"snad jsem pomohla , na shledanou ."
"inform(name=""Švejk Restaurant"")&inform(food=Italian)",Restaurace Švejk Restaurant nabízí italskou kuchyni.,inform(name=X-name)&inform(food=X-food),restaurace X-name nabízí X-food kuchyni .
"inform(area=Hradčany)&inform(near=Stromovka)&inform(name=""Pivo & Basilico"")",Pivo & Basilico je poblíž Stromovky na Hradčanech,inform(area=X-area)&inform(near=X-near)&inform(name=X-name),X-name je poblíž X-near na X-area
"inform_only_match(name=""Baráčnická rychta"")&inform_only_match(food=French)","Baráčnická rychta je jediná restaurace na seznamu, která nabízí francouzskou kuchyni.",inform_only_match(name=X-name)&inform_only_match(food=X-food),"X-name je jediná restaurace na seznamu , která nabízí X-food kuchyni ."
?select(area=Hradčany),Hledáte podnik v oblasti Hradčany?,?select(area=X-area),hledáte podnik v oblasti X-area ?
"inform(near=""Old Town Square"")&inform(food=American)&inform(name=""Café Kampus"")",Restaurace Café Kampus u Staroměstského náměstí vaří americkou kuchyni.,inform(near=X-near)&inform(food=X-food)&inform(name=X-name),restaurace X-name u X-near vaří X-food kuchyni .
"inform(address=""Karmelitská 29"")&inform(name=Ferdinanda)&inform(postcode=""159 00"")",Adresa restaurace Ferdinanda je Karmelitská 29 a poštovní směrovací číslo je 159 00.,inform(address=X-address)&inform(name=X-name)&inform(postcode=X-postcode),adresa restaurace X-name je X-address a poštovní směrovací číslo je X-postcode .
goodbye(),"Děkuji Vám, mějte se krásně",goodbye(),"děkuji vám , mějte se krásně"
"inform(name=""Kočár z Vídně"")&inform(price_range=cheap)&inform(kids_allowed=yes)",Restaurace Kočár z Vídně je levná a děti sem mají vstup povolen,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),restaurace X-name je X-price_range a děti sem mají vstup povolen
"inform(good_for_meal=dinner)&inform(name=""U Konšelů"")","U Konšelů je dobrá restaurace, kde příjemně povečeříte.",inform(good_for_meal=X-good_for_meal)&inform(name=X-name),"X-name je dobrá restaurace , kde příjemně X-good_for_meal ."
inform(type=restaurant)&inform(name=Místo),Mám tu příjemnou restauraci Místo.,inform(type=restaurant)&inform(name=X-name),mám tu příjemnou restauraci X-name .
"inform(address=""Malostranské náměstí 50"")&inform(name=Místo)",Adresa Místa je Malostranské náměstí 50,inform(address=X-address)&inform(name=X-name),adresa X-name je X-address
"inform(name=BarBar)&inform(postcode=""154 00"")",Poštovní směrovací číslo BarBaru je 154 00.,inform(name=X-name)&inform(postcode=X-postcode),poštovní směrovací číslo X-name je X-postcode .
goodbye(),Na slyšenou příště.,goodbye(),na slyšenou příště .
?request(price_range),Můžete upřesnit cenovou kategorii?,?request(price_range),můžete upřesnit cenovou kategorii ?
"inform(name=""Green Spirit"")&inform(good_for_meal=dinner)",Green Spirit se hodí na večeře,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name se hodí na X-good_for_meal
"inform(name=""Café Kampus"")&inform(type=restaurant)",Jméno té restaurace je Café Kampus.,inform(name=X-name)&inform(type=restaurant),jméno té restaurace je X-name .
"inform(name=Místo)&inform(address=""Kaprova 17"")&inform(phone=218515534)",Adresa restaurace Místo je Kaprova 17 a telefon 218515534.,inform(name=X-name)&inform(address=X-address)&inform(phone=X-phone),adresa restaurace X-name je X-address a telefon X-phone .
goodbye(),Tak na shledanou !,goodbye(),tak na shledanou !
"inform_no_match(area=""Staré Město"")",V oblasti Starého města nejsou žádné restaurace.,inform_no_match(area=X-area),v oblasti X-area nejsou žádné restaurace .
"inform_no_match(area=""Malá Strana"")","Lituji, ale na Malé Straně nejsou žádné restaurace.",inform_no_match(area=X-area),"lituji , ale na X-area nejsou žádné restaurace ."
inform_no_match(area=Hradčany),"V oblasti Hradčan nejsou žádné restaurace. Prosím, zkuste jinou oblast.",inform_no_match(area=X-area),"v oblasti X-area nejsou žádné restaurace . prosím , zkuste jinou oblast ."
inform_no_match(area=Smíchov),"Je mi líto, nemám tu žádné restaurace, které by odpovídaly vašemu požadavku na oblast Smíchova.",inform_no_match(area=X-area),"je mi líto , nemám tu žádné restaurace , které by odpovídaly vašemu požadavku na oblast X-area ."
goodbye(),Tak na shledanou !,goodbye(),tak na shledanou !
?request(near),V blízkosti čeho to je?,?request(near),v blízkosti čeho to je ?
"inform(name=""Kočár z Vídně"")&inform(area=Žižkov)&inform(kids_allowed=yes)",Restaurace Kočár z Vídně na Žižkově je vhodná pro návštěvu s dětmi.,inform(name=X-name)&inform(area=X-area)&inform(kids_allowed=yes),restaurace X-name na X-area je vhodná pro návštěvu s dětmi .
goodbye(),"Nemáte zač, tak na shledanou.",goodbye(),"nemáte zač , tak na shledanou ."
?request(price_range),Můžete upřesnit cenovou kategorii?,?request(price_range),můžete upřesnit cenovou kategorii ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),"Měla bych tu 239 dobrých restaurací, pokud by vám nezáleželo na výši cen.",inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),"měla bych tu X-count dobrých restaurací , pokud by vám nezáleželo na výši cen ."
?request(food),Jaký druh jídla byste rádi?,?request(food),jaký druh jídla byste rádi ?
"inform(name=""Baráčnická rychta"")&inform(food=Czech)&inform(price_range=cheap)",Baráčnická rychta servíruje levné české jídlo.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),X-name servíruje X-price_range X-food jídlo .
"inform(name=""U Konšelů"")&inform(phone=244144730)&inform(price_range=moderate)",Telefonní číslo U Konšelů je 244144730. Nabízí pokrmy ve střední cenové kategorii.,inform(name=X-name)&inform(phone=X-phone)&inform(price_range=X-price_range),telefonní číslo X-name je X-phone . nabízí pokrmy ve X-price_range cenové kategorii .
goodbye(),Děkuji a přeji dobrou chuť !,goodbye(),děkuji a přeji dobrou chuť !
"inform(name=""U Tučňáků"")&inform(good_for_meal=brunch)&inform(price_range=cheap)&inform(kids_allowed=no)","Restaurace U Tučňáků je levná, nabízí pozdní snídaně a není vhodná pro návštěvu s dětmi.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range)&inform(kids_allowed=no),"restaurace X-name je X-price_range , nabízí X-good_for_meal a není vhodná pro návštěvu s dětmi ."
"inform(name=Ananta)&inform(address=""Karmelitská 7"")",Ananta se nachází na adrese Karmelitská 7.,inform(name=X-name)&inform(address=X-address),X-name se nachází na adrese X-address .
"inform(name=""Švejk Restaurant"")&inform(type=restaurant)",Jméno této restaurace je restaurace Švejk.,inform(name=X-name)&inform(type=restaurant),jméno této restaurace je X-name .
"inform(name=""Švejk Restaurant"")&inform(phone=253835937)",Telefonní číslo do restaurace Švejk je 253835937.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do restaurace X-name je X-phone .
"inform(name=""Pivo & Basilico"")&inform(area=""Staré Město"")",Restauraci Pivo & Basilico najdete na Starém Městě.,inform(name=X-name)&inform(area=X-area),restauraci X-name najdete na X-area .
goodbye(),Děkuji. Na shledanou.,goodbye(),děkuji . na shledanou .
"inform(food=Indian)&inform(name=""Pivo & Basilico"")",Našla jsem indickou restauraci jménem Pivo & Basilico.,inform(food=X-food)&inform(name=X-name),našla jsem X-food restauraci jménem X-name .
"inform(name=""Green Spirit"")&inform(address=""Žatecká 32"")",Adresa restaurace Green Spirit je Žatecká 32,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address
"inform(area=Žižkov)&inform(name=""Green Spirit"")",Na Žižkově se nachází podnik jménem Green Spirit.,inform(area=X-area)&inform(name=X-name),v X-area se nachází podnik jménem X-name .
goodbye(),"Díky, na shledanou.",goodbye(),"díky , na shledanou ."
"inform(name=""U Tučňáků"")&inform(price_range=cheap)",Restaurace U Tučňáků spadá do nízké cenové skupiny.,inform(name=X-name)&inform(price_range=X-price_range),restaurace X-name spadá do X-price_range cenové skupiny .
"inform(name=BarBar)&inform(address=""Štefánikova 10"")",Adresa restaurace BarBar je Štefánikova 10,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address
inform(name=Ananta)&inform(phone=276592590),Telefonní číslo Ananty je 276592590.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo X-name je X-phone .
goodbye(),Na slyšenou !,goodbye(),na slyšenou !
"inform(name=""Café Kampus"")&inform(kids_allowed=yes)",Restaurace Café Kampus se hodí pro děti,inform(name=X-name)&inform(kids_allowed=yes),restaurace X-name se hodí pro děti
"inform(name=""Café Kampus"")&inform(type=restaurant)",Restaurace se nazývá Café Kampus.,inform(name=X-name)&inform(type=restaurant),restaurace se nazývá X-name .
"?select(kids_allowed=""yes or no"")",Budete s sebou mít děti?,"?select(kids_allowed=""yes or no"")",budete s sebou mít děti ?
"inform(name=""Švejk Restaurant"")&inform(area=Žižkov)",Restauraci Švejk najdete na Žižkově.,inform(name=X-name)&inform(area=X-area),restauraci X-name najdete na X-area .
"?select(kids_allowed=""yes or no"")","Chtěli byste, aby byla restaurace vhodná i pro děti?","?select(kids_allowed=""yes or no"")","chtěli byste , aby byla restaurace vhodná i pro děti ?"
goodbye(),Tak na slyšenou !,goodbye(),tak na slyšenou !
?request(area),V jaké oblasti si přejete hledat?,?request(area),v jaké oblasti si přejete hledat ?
?confirm(area=dont_care),Na oblasti nezáleží?,?confirm(area=dont_care),na oblasti nezáleží ?
"inform(area=Žižkov)&inform(food=Mexican)&inform(name=""U Konšelů"")","Na Žižkově se nachází mexická restaurace, která se jmenuje U Konšelů.",inform(area=X-area)&inform(food=X-food)&inform(name=X-name),"na X-area se nachází X-food restaurace , která se jmenuje X-name ."
"inform(type=restaurant)&inform(name=""Kočár z Vídně"")",Restaurace Kočár z Vídně je poblíž,inform(type=restaurant)&inform(name=X-name),restaurace X-name je poblíž
goodbye(),Děkuji. Někdy na shledanou.,goodbye(),děkuji . někdy na shledanou .
?request(price_range),"Můžu se zeptat, jakou cenovou kategorii si přejete?",?request(price_range),"můžu se zeptat , jakou cenovou kategorii si přejete ?"
inform(name=BarBar)&inform(price_range=cheap),Restaurace BarBar spadá do levné cenové kategorie.,inform(name=X-name)&inform(price_range=X-price_range),restaurace X-name spadá do X-price_range cenové kategorie .
?confirm(price_range=expensive),"Mohu se jen ujistit, že byste rádi našli drahou restauraci?",?confirm(price_range=X-price_range),"mohu se jen ujistit , že byste rádi našli X-price_range restauraci ?"
"inform(name=""Café Kampus"")&inform(price=""between 50 and 100 Kč"")&inform(address=""Tržiště 50"")",Café Kampus sídlí na adrese Tržiště 50 a jídlo zde seženete za 50 až 100 Kč.,inform(name=X-name)&inform(price=X-price)&inform(address=X-address),X-name sídlí na adrese X-address a jídlo zde seženete za X-price .
"inform(type=restaurant)&inform(name=""Švejk Restaurant"")",Švejk Restaurant je restaurace,inform(type=restaurant)&inform(name=X-name),X-name je restaurace
goodbye(),Na shledanou. Omlouvám se.,goodbye(),na shledanou . omlouvám se .
"inform(name=""Pivo & Basilico"")&inform(near=""Wenceslas Square"")&inform(good_for_meal=dinner)&inform(kids_allowed=yes)","Restaurace Pivo & Basilico se nachází poblíž Václavského náměstí, je zde povolen vstup s dětmi a zároveň je to dobré místo na večeři.",inform(name=X-name)&inform(near=X-near)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),"restaurace X-name se nachází poblíž X-near , je zde povolen vstup s dětmi a zároveň je to dobré místo na X-good_for_meal ."
goodbye(),Děkuji a užijte si to,goodbye(),děkuji a užijte si to
?confirm(price_range=expensive),"Mohu se ujistit, že hledáte restauraci v dražší cenové kategorii?",?confirm(price_range=X-price_range),"mohu se ujistit , že hledáte restauraci v X-price_range cenové kategorii ?"
goodbye(),Děkuji.,goodbye(),děkuji .
"inform(name=""Pivo & Basilico"")&inform(food=Italian)&inform(kids_allowed=yes)",Italský podnik Pivo & Basilico vítá rodiny s dětmi.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),X-food podnik X-name vítá rodiny s dětmi .
